tier,name,director,phone1,phone2,city,spyur_url,website,facebook,staff,founded,updated,flag
"A","ԱՌԱՔԵԼՅԱՆ ՓԱՐԹՆԵՐՍ ՔՈՆՍԱԼԹԻՆԳ","Գրիգոր Առաքելյան, տնօրեն","+37441829009","+37410278720","Երևան","https://spyur.am/am/companies/arakelyan-partners-consulting/33619","http://www.apconsult.am","https://www.facebook.com/apconsultingarmenia/","<15","2011","03.08.2026","call"
"A","ԱՐՏ ԸՔԱՈՒՆԹԻՆԳ ԻՐԱՎԱԲԱՆԱԿԱՆ ԵՎ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Սեյրան Հարությունյան, տնօրեն","+37460380388","+37494013013","Երևան","https://spyur.am/am/companies/art-accounting-law-and-accounting-company/52065","","","<15","2016","17.09.2026","call"
"A","ԱՐՏ-ԼԱՐ ՖԻՆԱՆՍ ԸՆԴ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԵՎ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Արտակ Միշայի Վարոսյան, տնօրեն","+37410444008","+37460522727","Երևան","https://spyur.am/am/companies/art-lar-finance-and-accounting-accounting-and-consulting-company/5477","http://www.artlar.am","https://www.facebook.com/ArtLarFinanceAndAccounting","51-250","2003","16.06.2026","call"
"A","ԱՐՏՔԱՈՒՆԹ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Արտյոմ Ղազարյան, տնօրեն","+37477765552","","Երևան","https://spyur.am/am/companies/artcount-accounting-office/56118","http://artcount.am/","","<15","2021","02.09.2026","call"
"A","ԱՐՓՖԻՆ ՍՊԸ","Վահագն Կարապետյան, տնօրեն","+37444312300","","Երևան","https://spyur.am/am/companies/arpfin/56662","http://arpfin.am/","https://www.facebook.com/profile.php?id=61564818779253","<15","2024","03.08.2026","call"
"A","ԱՔՍԻՍ ԸՔԱՈՒՆԹԻՆԳ ՍՊԸ","Արման Սարգսյան, տնօրեն","+37495811255","","Երևան","https://spyur.am/am/companies/axis-accounting/59483","","https://www.facebook.com/people/Axis-Accounting/61588436480107/","<15","2026","02.09.2026","call"
"A","ԲԵԼԵՆՍ ՇԻԹ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Սևակ Ոսկանյան, տնօրեն","+37410202227","+37499375511","Երևան","https://spyur.am/am/companies/balance-sheet-accounting-company/20607","https://hashvapah.com/","https://www.facebook.com/Balancesheetarmenia","<15","2008","02.09.2026","call"
"A","ԲԵԼՆԱՐ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Նարեկ Միքայելյան, տնօրեն","+37412950000","+37455566567","Երևան","https://spyur.am/am/companies/belnar-accounting-company/44101","","https://www.facebook.com/BelNaraccounting/","16-50","2013","30.07.2026","call"
"A","ԲԻԶՆԵՍԻ ՄԵԿ ՊԱՏՈՒՀԱՆ ՍՊԸ","Հասմիկ Միրզոյան, տնօրեն","+37494607211","+37491607211","Երևան","https://spyur.am/am/companies/business-single-window/49071","http://www.bsw.am/","https://www.facebook.com/bsw.company","<15","2019","02.09.2026","call"
"A","ԳԱՆՁԱՆԱԿՅԱՆ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Մարինե Գանձանակյան, տնօրեն","+37433365616","","Երևան","https://spyur.am/am/companies/gandzanakyan-accounting-accounting-office/58213","","https://www.facebook.com/gandzanakyan.accounting/","","","09.09.2026","call"
"A","ԴԻ ՋԻ ՔՈՆՍԱԼԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Դավիթ Խաչատրյան, տնօրեն","+37411330004","+37498788080","Երևան","https://spyur.am/am/companies/dg-consulting-accounting-company/41953","http://www.dgconsulting.am","","51-250","2012","02.09.2026","call"
"A","ԷԼ ԷՍ ԷՅ ԻՐԱՎԱԲԱՆԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","","+37433374375","+37496374374","Երևան","https://spyur.am/am/companies/lsa-law-firm/58600","https://www.lsa.am/","https://www.facebook.com/p/LSA-Law-Firm-100062815863997","<15","2014","02.09.2026","call"
"A","ԷՅՎԻ ՔՈՆՍԱԼԹԻՆԳ ԸՆԴ ԱՈՒԴԻՏ","Մելս Վազգենի Պետրոսյան, գլխավոր տնօրեն","+37498229998","","Երևան","https://spyur.am/am/companies/av-consulting-and-audit/48963","https://av-audit.com/","","16-50","2024","04.08.2026","call"
"A","ԹԱՈՒԵՐ ԻՆԹԵՐՆԵՅՇՆԼ ՔՈՆՍԱԼԹԱՆՏՍ ՓԲԸ","Հրանտ Այվազյան, տնօրեն","+37412571631","+37412571632","Երևան","https://spyur.am/am/companies/tower-international-consultants/6218","http://www.tower.am","https://www.facebook.com/Towerinternationalconsultants","<15","2007","13.04.2026","call"
"A","ԼԻԳԸԼ ԸՆԴ ԹԱՔՍ ՍՊԸ","Արգիշտի Քյարամյան, տնօրեն","+37444230000","+37412230000","Երևան","https://spyur.am/am/companies/legal-and-tax/57352","https://legalandtax.am/","https://www.facebook.com/people/Legal-and-Tax/61574036874236","<15","2025","03.07.2026","call"
"A","ԿՈՆՍԻԼՅԵՐԻ ՀԱՇՎԱՊԱՀԱԿԱՆ ԵՎ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Անահիտ Մկրտչյան, տնօրեն","+37494750795","+37411750755","Երևան","https://spyur.am/am/companies/consigliere-accounting-and-consulting-company/40758","","https://www.facebook.com/Consigliereyerevan","","","02.09.2026","call"
"A","ԿՈՆՍՏԱՆՏ ԿՈՆՍԱԼԹԻՆԳ ԳՐՈՒՊ ՍՊԸ","Նարեկ Թադևոսյան, տնօրեն","+37477626572","+37441102428","Երևան","https://spyur.am/am/companies/constant-consulting-group/27564","http://constant.am","https://www.facebook.com/ConstantConsulting","","","02.09.2026","call"
"A","ՊՐՈՖ-ԱԼՅԱՆՍ ՍՊԸ","Արթուր Կիրակոսյան, տնօրեն","+37410541175","+37477880033","Երևան","https://spyur.am/am/companies/prof-alliance/59022","https://www.prof-alliance.am/hy","","","2009","13.04.2026","call"
"A","ՊՐՈՖԻԿՈՆ ՀԱՇՎԱՊԱՀԱԿԱՆ ԵՎ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Տիգրան Լևոնի Շահինյան, տնօրեն","+37496244040","+37499200630","Երևան","https://spyur.am/am/companies/proficon-accounting-and-consulting-company/6580","http://www.proficon.am","https://www.facebook.com/proficon.am","<15","2006","01.06.2026","call"
"A","ՋԻ ԹԻ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԿԵՆՏՐՈՆ ՍՊԸ","Տիգրան Գագիկի Գրիգորյան, տնօրեն","+37491317372","+37498317372","Երևան","https://spyur.am/am/companies/gt-accounting-accounting-center/25914","","","16-50","2010","17.09.2026","call"
"A","ՔԼԱՐԻԹԻ ՔՈՆԹՐՈԼ (CLTC) ՀԱՇՎԱՊԱՀԱԿԱՆԸՆԿԵՐՈՒԹՅՈՒՆ (ՕՐԵՆՔ ԵՎ ԿԱՐԳ սահմանափակ պատասխանատվությամբ ընկերություն/ՍՊԸ)","Քրիստինե Առուստամյան, տնօրեն","+37494074474","+37433074474","Երևան","https://spyur.am/am/companies/clarity-control-cltc-accounting-company/56893","","https://www.facebook.com/cltc.company","<15","1999","02.09.2026","call"
"A","ՖԻՆԱՆՍ.ՔՈ ՍՊԸ","Անի Ռուստամյան, տնօրեն","+37455355530","+37444355540","Երևան","https://spyur.am/am/companies/finansco/58575","https://hashvapahutyun.am","","<15","2022","02.09.2026","call"
"A","ՖԻՆԹԱՔՍ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Հրայր Մուրադյան, տնօրեն","+37494000446","+37491633236","Երևան","https://spyur.am/am/companies/fintax-accounting-accounting-company/27192","http://www.fintax.am","https://www.facebook.com/FinTax-Accounting-235738069882838","","2008","01.06.2026","call"
"A","ՖԻՆԼԵՔՍ ՖԻՆԱՆՍԱԻՐԱՎԱԿԱՆ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Արտակ Ռուդիկի Զոփունյան, գլխավոր տնօրեն","+37460506080","+37410222111","Երևան","https://spyur.am/am/companies/finlex-financial-and-legal-consulting-company/6174","http://www.finlex.am","https://www.facebook.com/Finlex.arm","16-50","2007","03.08.2026","call"
"A","ՖՈՒԼ ՍԵՐՎԻՍ ՔՈՆՍԱԼԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Գայանե Մաճկալյան, տնօրեն","+37433787890","","Երևան","https://spyur.am/am/companies/full-service-consulting-accounting-company/58505","https://www.fsconsult.am/","https://www.facebook.com/profile.php?id=61565852352765","16-50","2013","02.09.2026","call"
"A","ՖՐԵԴԱ ՍՊԸ","Արման Ավանեսյան, տնօրեն","+37410256325","+37410250668","Երևան","https://spyur.am/am/companies/freda/7017","https://fredallc.com","https://www.facebook.com/FredaLLC","16-50","1996","02.09.2026","call"
"B","ԱՍԵԹՍ ՀԱՇՎԱՊԱՀԱԿԱՆ ԵՎ ԽՈՐՀՐԴԱՏՎԱԿԱՆ ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ ՄԱՏՈՒՑՈՂ ԸՆԿԵՐՈՒԹՅՈՒՆ","Գևորգ Թառլամազյան, տնօրեն","+37444577767","+37498577767","Երևան","https://spyur.am/am/companies/assets-accounting-and-consulting-company/40935","http://www.assets.am","","16-50","2017","14.02.2026","call"
"B","ԲԵՆԵՖԻՏ ՔՈՆՍԱԼԹԻՆԳ ՓԲԸ","Գարիկ Սարգսյան, տնօրեն","+37410526590","+37460441111","Երևան","https://spyur.am/am/companies/benefit-consulting/26605","","","<15","2008","15.07.2026","call"
"B","ԳԼՈԲԱԼ ԿՈՆՍԱԼՏ","Արա Մարկոսյան, տնօրեն","+37460742222","","Երևան","https://spyur.am/am/companies/global-consult/27275","","https://www.facebook.com/Global-Consult-LLC-120946114648595","","2010","06.08.2026","call"
"B","ԷԴԱՐԹՀԱՈՒՍՔԸՆՍԱԼԹԻՆԳ ՍՊԸ","Էդուարդ Կարապետի Բադալյան, տնօրեն","+37410276515","+37494530840","Երևան","https://spyur.am/am/companies/edarthouseconsulting/7199","https://edart.am/","https://www.facebook.com/EdArthouseconsulting","<15","2009","02.09.2026","call"
"B","ԷՅԲԻԱՅ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Հայկ Պողոսյան, տնօրեն","+37493882037","","Երևան","https://spyur.am/am/companies/abi-accounting-company/43355","https://abi.tax/","https://www.facebook.com/ABI.service","","","11.06.2026","call"
